Device Name;MACAdress String;Installation Date;Maschine Name And Model;Site;Dw Type;Energy KW;Time Zone ID;Rinse Flow L;Rack Size;Belt Speed;Water Correction Factor;Energy Correction Factor;Wash Temp Threshold;Rinse Temp Threshold;Dosing Unit Type;is Blackbox;Blackbox Specs;Warewash Detergent;Rinse Aid;Has Liquid Pumps;Dosage Detergent;Dosage Rinse;Is Forwarding Active;Last Summary;Last Seen
Simulated Device 1;E0798D463CA3;09.10.2025;Meiko M-iClean UM+;Test 1;Single tank;68;UTC (UTC+00:00);79;0;0;12;13;0;0;None;WAHR;6aad0635-37c6-42ad-b87a-08ddf1ced0c4;;;FALSCH;0;0;FALSCH;10.08.2025;10.08.2025
Simulated Device 2;E0798D464C2B;1/24/2025;Hobart FTN;Test 2;Conveyor;403;Europe/Berlin (UTC+01:00);180;5;13;12;21;60;80;PDRX;FALSCH;;Smartpower UltraNC;Smartpower Rinse N;FALSCH;12;2;WAHR;10/18/2025;10/20/2025
Simulated Device 3;E0798D463C8D;1/24/2025;Winterhalter MTR;Test 3;Conveyor;36;Europe/Berlin (UTC+01:00);0;0;0;12;13;60;80;SDRX;WAHR;1f66f079-c093-487c-44b0-08dd6ba45588;;;FALSCH;0;0;FALSCH;4/30/2025;1/24/2025
Simulated Device 4;E0798D45C16D;7/23/2025;TBA;Test 4;Single tank;0;Europe/Berlin (UTC+01:00);0;0;0;12;2;60;80;PDRX;FALSCH;;;;FALSCH;0;0;FALSCH;10/19/2025;10/20/2025
Simulated Device 5;E0798D464B4F;7/23/2025;TBA;Test 5;Single tank;0;Europe/Berlin (UTC+01:00);0;0;0;12;13;60;80;PDRX;FALSCH;;;;FALSCH;0;0;FALSCH;10/19/2025;10/20/2025
Simulated Device 6;E0798D45EA16;4/22/2025;Meiko K-L54-V8 N04 P6;Test 6;Single tank;463;Europe/Berlin (UTC+01:00);0;0;0;12;13;60;80;PDRX;FALSCH;;;;FALSCH;0;0;WAHR;10/18/2025;10/20/2025
Simulated Device 7;E0798D464666;2/19/2025;Meiko 2 Tank, Meiko MIQ;Test 7;Conveyor;689;Europe/Berlin (UTC+01:00);330;5;8;12;13;60;80;PDRX;FALSCH;;Apex Ultra;Apex Rinse PL;FALSCH;12;6;WAHR;10/19/2025;10/20/2025
Simulated Device 8;E0798D463CAC;4/22/2025;Hobart UPT-B-SEF;Test 8;Single tank;235;Europe/Berlin (UTC+01:00);0;0;0;12;21;60;80;PDRX;FALSCH;;;;FALSCH;0;0;WAHR;10/19/2025;10/20/2025
Simulated Device 9;E0798D464C20;3/13/2025;Meiko - B-230 VAP;Test 9;Flight;35;Europe/Berlin (UTC+01:00);360;0;12;12;13;60;80;TSPTwin;FALSCH;;Topmatic Perfekt;Clear Dry Classic;FALSCH;23;2;FALSCH;06.11.2025;1/24/2025
Simulated Device 10;E0798D463C9D;3/13/2025;Meiko - FV 130.2;Test 10;Single tank;115;Europe/Berlin (UTC+01:00);58;0;0;12;13;60;80;TSPTwin;FALSCH;;Topmatic Perfekt;Clear Dry Classic;FALSCH;2;2;FALSCH;10/13/2025;10/13/2025
